Employee_id,Project_id,Start_date,End_date,Project_status,Department
3,1,2022-01-08,2023-12-31,Ongoing,Marketing
5,1,2022-01-08,2023-12-31,Ongoing,IT
6,1,2022-01-08,2023-12-31,Ongoing,Marketing
8,2,2022-09-15,2024-06-30,Ongoing,Operations
10,2,2022-09-15,2024-06-30,Ongoing,Operations
12,2,2022-09-15,2024-06-30,Ongoing,Sales  
13,3,2022-01-10,2024-02-28,Ongoing,Engineering
14,3,2022-01-10,2024-02-28,Ongoing,Customer Service
16,3,2022-01-10,2024-02-28,Ongoing,Operations
18,4,2022-01-11,2023-10-31,Completed,Finance
20,4,2022-01-11,2023-10-31,Completed,Marketing
22,4,2022-01-11,2023-10-31,Completed,IT
23,5,2022-01-12,2024-04-30,Ongoing,Customer Service
24,5,2022-01-12,2024-04-30,Ongoing,Engineering
25,5,2022-01-12,2024-04-30,Ongoing,IT
28,6,2023-01-01,2024-03-31,Ongoing,Customer Service
31,6,2023-01-01,2024-03-31,Ongoing,Operations
33,6,2023-01-01,2024-03-31,Ongoing,Operations
35,7,2023-01-02,2024-06-30,Ongoing,Operations
37,7,2023-01-02,2024-06-30,Ongoing,Finance
38,7,2023-01-02,2024-06-30,Ongoing,Engineering
39,8,2023-01-03,2024-05-31,Ongoing,Finance
41,8,2023-01-03,2024-05-31,Ongoing,Operations
42,8,2023-01-03,2024-05-31,Ongoing,Finance
48,9,2023-01-04,2024-08-31,Ongoing,Marketing
51,9,2023-01-04,2024-08-31,Ongoing,HR
53,9,2023-01-04,2024-08-31,Ongoing,HR
54,10,2023-01-05,2024-09-30,Ongoing,Marketing
58,10,2023-01-05,2024-09-30,Ongoing,Finance
60,11,2023-01-06,2024-07-31,Ongoing,IT
61,11,2023-01-06,2024-07-31,Ongoing,IT
64,11,2023-01-06,2024-07-31,Ongoing,Sales  
67,12,2023-01-07,2023-12-31,Completed,Customer Service
68,12,2023-01-07,2023-12-31,Completed,IT
69,12,2023-01-07,2023-12-31,Completed,HR
70,13,2023-01-08,2024-01-31,OnHold,HR
74,13,2023-01-08,2024-01-31,OnHold,Customer Service
75,13,2023-01-08,2024-01-31,OnHold,Operations
79,14,2023-01-09,2024-03-14,Ongoing,Marketing
80,14,2023-01-09,2024-03-14,Ongoing,Customer Service
84,14,2023-01-09,2024-03-14,Ongoing,Operations
96,15,2023-01-10,2024-04-14,Ongoing,HR
97,15,2023-01-10,2024-04-14,Ongoing,Engineering
102,15,2023-01-10,2024-04-14,Ongoing,IT
119,16,2023-01-11,2024-05-14,Ongoing,Engineering
123,16,2023-01-11,2024-05-14,Ongoing,HR
130,16,2023-01-11,2024-05-14,Ongoing,Sales  
142,17,2023-01-12,2024-06-14,Ongoing,Engineering
144,17,2023-01-12,2024-06-14,Ongoing,IT
147,17,2023-01-12,2024-06-14,Ongoing,Sales  
150,57,2023-01-10,2024-09-30,Ongoing,Customer Service
